model,lang,precision,n,correct,accuracy,ci95_low,ci95_high
qwen2.5-3b-instruct,asm_Beng,fp16,900,427,0.47444444444444445,0.4419983163190293,0.5071078102411998
qwen2.5-3b-instruct,asm_Beng,int8_llmint8,900,420,0.4666666666666667,0.43428338252393645,0.4993333042937536
qwen2.5-3b-instruct,asm_Beng,nf4,900,394,0.43777777777777777,0.40569738029571545,0.4703871017639728
qwen2.5-3b-instruct,ben_Beng,fp16,900,565,0.6277777777777778,0.5957152427669656,0.6587541244318886
qwen2.5-3b-instruct,ben_Beng,int8_llmint8,900,535,0.5944444444444444,0.5620301381110384,0.6260559159055061
qwen2.5-3b-instruct,ben_Beng,nf4,900,524,0.5822222222222222,0.5497174492736702,0.6140280565760273
qwen2.5-3b-instruct,eng_Latn,fp16,900,806,0.8955555555555555,0.8738647779176968,0.9138838718457131
qwen2.5-3b-instruct,eng_Latn,int8_llmint8,900,801,0.89,0.8678765010256411,0.9088082632073837
qwen2.5-3b-instruct,eng_Latn,nf4,900,796,0.8844444444444445,0.8619044268492455,0.9037164518533944
qwen2.5-3b-instruct,npi_Deva,fp16,900,402,0.44666666666666666,0.4144813578035543,0.4793053411047499
qwen2.5-3b-instruct,npi_Deva,int8_llmint8,900,398,0.44222222222222224,0.41008806069890186,0.4748475297850944
qwen2.5-3b-instruct,npi_Deva,nf4,900,372,0.41333333333333333,0.3815958248244221,0.44580756090157225
qwen2.5-3b-instruct,sin_Sinh,fp16,900,428,0.47555555555555556,0.4431010938587564,0.5082178098075496
qwen2.5-3b-instruct,sin_Sinh,int8_llmint8,900,421,0.4677777777777778,0.4353850323839256,0.5004444315398414
qwen2.5-3b-instruct,sin_Sinh,nf4,900,373,0.41444444444444445,0.3826896033222616,0.4469265595098098
