model,lang,precision,acc_fp16,acc_quant,delta_acc,n_fp16_only,n_quant_only,mcnemar_p,mcnemar_p_holm
qwen2.5-3b-instruct,asm_Beng,int8_llmint8,0.47444444444444445,0.4666666666666667,0.007777777777777772,69,62,0.6002946177102675,1.0
qwen2.5-3b-instruct,asm_Beng,nf4,0.47444444444444445,0.43777777777777777,0.03666666666666668,110,77,0.019038067571506098,0.13326647300054267
qwen2.5-3b-instruct,ben_Beng,int8_llmint8,0.6277777777777778,0.5944444444444444,0.033333333333333326,65,35,0.0035176417229701583,0.028141133783761266
qwen2.5-3b-instruct,ben_Beng,nf4,0.6277777777777778,0.5822222222222222,0.04555555555555557,100,59,0.001434463760420402,0.012910173843783618
qwen2.5-3b-instruct,eng_Latn,int8_llmint8,0.8955555555555555,0.89,0.005555555555555536,15,10,0.42435622215270996,1.0
qwen2.5-3b-instruct,eng_Latn,nf4,0.8955555555555555,0.8844444444444445,0.011111111111111072,26,16,0.16414940178310644,0.8207470089155322
qwen2.5-3b-instruct,npi_Deva,int8_llmint8,0.44666666666666666,0.44222222222222224,0.0044444444444444176,58,54,0.7769647513696725,1.0
qwen2.5-3b-instruct,npi_Deva,nf4,0.44666666666666666,0.41333333333333333,0.033333333333333326,105,75,0.03036953944689122,0.18221723668134732
qwen2.5-3b-instruct,sin_Sinh,int8_llmint8,0.47555555555555556,0.4677777777777778,0.007777777777777772,77,70,0.6208422313416992,1.0
qwen2.5-3b-instruct,sin_Sinh,nf4,0.47555555555555556,0.41444444444444445,0.061111111111111116,131,76,0.0001609502990347977,0.0016095029903479769
