model,model_revision,precision,lang,tag,n_items,median_latency_ms,mean_latency_ms,p25_latency_ms,p75_latency_ms,median_input_tokens,peak_memory_allocated_gb,peak_memory_reserved_gb,repeats,warmup,gpu_name,compute_capability,timestamp_utc
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,p0,900,372.3924554999485,388.9610931466639,289.43186399999377,456.9360120000283,750.0,6.377572536468506,7.19921875,1,5,Tesla T4,7.5,2026-08-27T20:20:43Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,int8_llmint8,asm_Beng,p0,900,475.35895249984605,498.00549261555614,388.68323049973696,578.9530130000458,750.0,3.7961368560791016,7.19921875,1,5,Tesla T4,7.5,2026-08-27T20:54:00Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,nf4,asm_Beng,p0,900,619.9394119998942,646.5971238822042,501.741245999483,739.2680987502445,750.0,6.578615665435791,7.365234375,1,5,Tesla T4,7.5,2026-08-27T21:34:54Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,ben_Beng,p0,900,349.135007999962,358.0485201022174,273.4126577500433,424.89364374984007,700.5,6.310675144195557,7.197265625,1,5,Tesla T4,7.5,2026-08-27T20:06:48Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,int8_llmint8,ben_Beng,p0,900,452.48500049979157,466.442905927773,374.9038234999489,537.6927649999743,700.5,3.7282910346984863,7.19921875,1,5,Tesla T4,7.5,2026-08-27T20:36:28Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,nf4,ben_Beng,p0,900,585.0171894999221,603.7612435666597,471.3185840000733,705.935001499256,700.5,3.822981357574463,7.24609375,1,5,Tesla T4,7.5,2026-08-27T21:12:22Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,eng_Latn,p0,900,82.82991099997616,79.799090428891,63.170478500069294,88.2591579999712,149.0,5.872066497802734,6.224609375,1,5,Tesla T4,7.5,2026-08-27T20:01:16Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,int8_llmint8,eng_Latn,p0,900,235.73990150021018,237.14608157888304,231.46835924990228,240.8736302500074,149.0,3.2948403358459473,7.19921875,1,5,Tesla T4,7.5,2026-08-27T20:29:14Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,nf4,eng_Latn,p0,900,180.14770749960007,174.19101684222875,142.61744450027436,186.0693224998613,149.0,2.0423717498779297,7.19921875,1,5,Tesla T4,7.5,2026-08-27T21:03:10Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,npi_Deva,p0,900,286.2526330000037,304.9436009522267,228.35215524992236,355.2385294999567,601.5,6.287512302398682,7.19921875,1,5,Tesla T4,7.5,2026-08-27T20:25:26Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,int8_llmint8,npi_Deva,p0,900,387.0348054997521,413.97586585667443,340.81082200009405,466.76251350027087,601.5,3.704810619354248,7.19921875,1,5,Tesla T4,7.5,2026-08-27T21:00:28Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,nf4,npi_Deva,p0,900,498.8266730001669,521.6398144433364,409.0990382496784,605.9630667496094,601.5,7.83234167098999,10.048828125,1,5,Tesla T4,7.5,2026-08-27T21:42:51Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,sin_Sinh,p0,900,502.5364804999981,518.8318930499968,405.5372492499032,603.8733317499805,962.5,6.860846996307373,7.19921875,1,5,Tesla T4,7.5,2026-08-27T20:14:45Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,int8_llmint8,sin_Sinh,p0,900,614.6943424996607,634.7065193188903,507.126263750024,741.6424559999086,962.5,4.281928062438965,7.19921875,1,5,Tesla T4,7.5,2026-08-27T20:46:16Z
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,nf4,sin_Sinh,p0,900,823.5080300000845,835.1942461833319,673.5112870001103,966.7939490002482,962.5,5.716341018676758,7.3046875,1,5,Tesla T4,7.5,2026-08-27T21:25:03Z
