arm,lang,precision,n,correct,accuracy,ci95_low,ci95_high
base,ben_Beng,fp16,900,565,0.6277777777777778,0.5957152427669656,0.6587541244318886
base,ben_Beng,int8_llmint8,900,535,0.5944444444444444,0.5620301381110384,0.6260559159055061
base,ben_Beng,nf4,900,524,0.5822222222222222,0.5497174492736702,0.6140280565760273
base,eng_Latn,fp16,900,806,0.8955555555555555,0.8738647779176968,0.9138838718457131
base,eng_Latn,int8_llmint8,900,801,0.89,0.8678765010256411,0.9088082632073837
base,eng_Latn,nf4,900,796,0.8844444444444445,0.8619044268492455,0.9037164518533944
ft,ben_Beng,fp16,900,557,0.6188888888888889,0.5867172725441347,0.6500498778061037
ft,ben_Beng,int8_llmint8,900,533,0.5922222222222222,0.5597899526152574,0.623870547189133
ft,ben_Beng,nf4,900,523,0.5811111111111111,0.5485991197652884,0.6129336089783322
ft,eng_Latn,fp16,900,810,0.9,0.8786678232927656,0.9179319348949522
ft,eng_Latn,int8_llmint8,900,807,0.8966666666666666,0.8750644749350788,0.914896951934408
ft,eng_Latn,nf4,900,789,0.8766666666666667,0.8535688555706238,0.8965625833894773
