arm,lang,precision,median_latency_ms,peak_memory_reserved_gb,warmup,repeats
base,ben_Beng,fp16,349.135007999962,7.197265625,5,1
base,ben_Beng,int8_llmint8,452.4850004997916,7.19921875,5,1
base,ben_Beng,nf4,585.0171894999221,7.24609375,5,1
base,eng_Latn,fp16,82.82991099997616,6.224609375,5,1
base,eng_Latn,int8_llmint8,235.73990150021015,7.19921875,5,1
base,eng_Latn,nf4,180.14770749960007,7.19921875,5,1
ft,ben_Beng,fp16,388.1880544995511,9.5625,5,1
ft,ben_Beng,int8_llmint8,457.1696474995406,9.5625,5,1
ft,ben_Beng,nf4,440.20423899928574,9.5625,5,1
ft,eng_Latn,fp16,82.47923350018027,6.224609375,5,1
ft,eng_Latn,int8_llmint8,243.3084445001441,6.224609375,5,1
ft,eng_Latn,nf4,136.8803045002096,6.224609375,5,1
